PERMNO,date,COMNAM,RCRDDT,PRC,VOL,RET,BID,ASK,RETX
86580,2019-01-02,NVIDIA CORP,,136.22000,12718070,0.020375,136.22000,136.28000,0.020375
86580,2019-01-03,NVIDIA CORP,,127.99000,17638686,-0.060417,127.99000,128.07001,-0.060417
86580,2019-01-04,NVIDIA CORP,,136.19000,14640383,0.064068,136.19000,136.20000,0.064068
86580,2019-01-07,NVIDIA CORP,,143.39999,17728780,0.052941,143.39999,143.48000,0.052941
86580,2019-01-08,NVIDIA CORP,,139.83000,19647145,-0.024895,139.81000,139.83000,-0.024895
86580,2019-01-09,NVIDIA CORP,,142.58000,15430767,0.019667,142.64000,142.70000,0.019667
86580,2019-01-10,NVIDIA CORP,,145.23000,13076606,0.018586,145.14000,145.20000,0.018586
86580,2019-01-11,NVIDIA CORP,,148.83000,21867166,0.024788,148.80000,148.81000,0.024788
86580,2019-01-14,NVIDIA CORP,,150.44000,18252049,0.010818,150.38000,150.39000,0.010818
86580,2019-01-15,NVIDIA CORP,,149.87000,15425251,-0.003789,149.86000,149.89000,-0.003789
86580,2019-01-16,NVIDIA CORP,,148.84000,11752492,-0.006873,148.83000,148.84000,-0.006873
86580,2019-01-17,NVIDIA CORP,,151.72000,12333905,0.019350,151.72000,151.77000,0.019350
86580,2019-01-18,NVIDIA CORP,,156.92999,16283423,0.034340,156.92999,156.94000,0.034340
86580,2019-01-22,NVIDIA CORP,,148.77000,16538676,-0.051998,148.81000,148.87000,-0.051998
86580,2019-01-23,NVIDIA CORP,,149.28999,14765345,0.003495,149.30000,149.35001,0.003495
86580,2019-01-24,NVIDIA CORP,,157.84000,17728235,0.057271,157.77000,157.83000,0.057271
86580,2019-01-25,NVIDIA CORP,,160.14999,28880047,0.014635,160.14000,160.16000,0.014635
86580,2019-01-28,NVIDIA CORP,,138.00999,62785169,-0.138245,137.92000,137.92999,-0.138245
86580,2019-01-29,NVIDIA CORP,,131.60001,28842047,-0.046446,131.56000,131.59000,-0.046446
86580,2019-01-30,NVIDIA CORP,,137.39000,24360054,0.043997,137.41000,137.46001,0.043997
86580,2019-01-31,NVIDIA CORP,,143.75000,21070338,0.046292,143.74001,143.75000,0.046292
86580,2019-02-01,NVIDIA CORP,,144.73000,15624675,0.006817,144.72000,144.75000,0.006817
86580,2019-02-04,NVIDIA CORP,,149.17999,13214918,0.030747,149.19000,149.20000,0.030747
86580,2019-02-05,NVIDIA CORP,,149.95000,13506207,0.005162,149.94000,149.95000,0.005162
86580,2019-02-06,NVIDIA CORP,,153.00000,17561347,0.020340,152.99001,153.00000,0.020340
86580,2019-02-07,NVIDIA CORP,,147.42000,15927600,-0.036471,147.41000,147.42000,-0.036471
86580,2019-02-08,NVIDIA CORP,,148.17000,11540037,0.005088,148.20000,148.24001,0.005088
86580,2019-02-11,NVIDIA CORP,,146.45000,12379115,-0.011608,146.42999,146.45000,-0.011608
86580,2019-02-12,NVIDIA CORP,,151.17000,14776046,0.032229,151.14000,151.17000,0.032229
86580,2019-02-13,NVIDIA CORP,,152.88000,15133702,0.011312,152.87000,152.91000,0.011312
86580,2019-02-14,NVIDIA CORP,,154.53000,20681074,0.010793,154.53000,154.56000,0.010793
86580,2019-02-15,NVIDIA CORP,,157.34000,37917734,0.018184,157.30000,157.34000,0.018184
86580,2019-02-19,NVIDIA CORP,,156.64000,13794766,-0.004449,156.62000,156.64000,-0.004449
86580,2019-02-20,NVIDIA CORP,,158.55000,13524537,0.012194,158.53999,158.57001,0.012194
86580,2019-02-21,NVIDIA CORP,,155.77000,11212568,-0.017534,155.80000,155.82001,-0.017534
86580,2019-02-22,NVIDIA CORP,,159.19000,10042631,0.021955,159.21001,159.22000,0.021955
86580,2019-02-25,NVIDIA CORP,,158.69000,16399681,-0.003141,158.64999,158.70000,-0.003141
86580,2019-02-26,NVIDIA CORP,,157.10001,12211371,-0.010020,157.11000,157.14000,-0.010020
86580,2019-02-27,NVIDIA CORP,,155.41000,12505881,-0.010757,155.39000,155.42000,-0.010757
86580,2019-02-28,NVIDIA CORP,2019-03-01,154.25999,8122565,-0.006370,154.28000,154.32001,-0.007400
86580,2019-03-01,NVIDIA CORP,,156.45000,8929478,0.014197,156.42999,156.44000,0.014197
86580,2019-03-04,NVIDIA CORP,,156.78000,10277775,0.002109,156.78000,156.80000,0.002109
86580,2019-03-05,NVIDIA CORP,,156.52000,9073119,-0.001658,156.49001,156.50999,-0.001658
86580,2019-03-06,NVIDIA CORP,,152.05000,10087049,-0.028559,152.00999,152.05000,-0.028559
86580,2019-03-07,NVIDIA CORP,,149.25999,11252248,-0.018349,149.24001,149.25999,-0.018349
86580,2019-03-08,NVIDIA CORP,,150.64000,10559751,0.009246,150.64000,150.67999,0.009246
86580,2019-03-11,NVIDIA CORP,,161.14000,21491572,0.069703,161.09000,161.14000,0.069703
86580,2019-03-12,NVIDIA CORP,,162.52000,14488768,0.008564,162.50999,162.55000,0.008564
