companyid,companyname,dealno,dealid,dealdate,announceddate,dealsize,nativeamountofdeal,dealstatus,dealsizestatus,percentacquired,raisedtodate,vcround,vcroundup_down_flat,totalinvestedcapital,investorownership,stocksplit,dealtype,dealtype2,dealtype3,dealclass,dealsynopsis,nativecurrencyofdeal,totalinvestedequity,addon,addonsponsors,addonplatform,totalnewdebt,debts,debtraisedinround,totalloansize,totalinstloansize,contingentpayout,employees,businessstatus,financingstatus,sitelocation,exitscope,premoneyvaluation,postvaluation,postvaluationstatus,originalregistrationdate,currentregistrationdate,tickersymbol,exchange,fillingrangelow,fillingrangehigh,numberofshares,marketcapendoffirsttradingday,price1dayafteroffering,price5daysafteroffering,price30daysafteroffering,investors,newinvestors,followoninvestors,periodenddate,impliedev,revenue,revenuegrowthsincelastdebtdeal,grossprofit,netincome,ebitda,totaldebt,fiscalyear,debt_ebitda,debt_equity,dealsize_ebitda,valuation_ebitda,impliedev_ebitda,impliedev_ebit,valuation_ebit,valuation_netincome,dealsize_ebit,dealsize_netincome,dealsize_revenue,valuation_revenue,impliedev_revenue,dealsize_cashflow,valuation_cashflow,impliedev_cashflow,impliedev_netincome,ebitdamarginpercent,pitchbookprofilelink,pitchbookcreateddate,rowid,lastupdated
160988-14,CyberQ Group,2,201817-81T,2020-01-01,,2.5,2.5,Completed,Actual,,2.5,1st Round,,2.5,,,Later Stage VC,,,Venture Capital,The company raised $2.5 million of venture funding from Vora Ventures in 2020. The funds will be used for the launch into the United States.,US Dollars (USD),2.5,No,,,,,,,,,,Generating Revenue,Venture Capital-Backed,"Birmingham, United Kingdom",,,,,,,,,,,,,,,,1,1,,,,,,,,,0,2019,,0,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/160988-14/company/deals#deal-201817-81T,2022-08-16,098eab41f824278f6e64c30ced044a964b6455ca89dd72242a07f06e0768649f,2025-09-26
160988-14,CyberQ Group,5,253863-55T,2024-03-08,,1.26471762,1,Completed,Actual,,4.1106313,3rd Round,,1.26471762,,,Later Stage VC,,,Venture Capital,"The company raised GBP 1 million of venture funding from Midven on March 8, 2024. The funds will be used by the company to expand and advance to meet global demand.",British Pounds (GBP),1.26471762,No,,,,,,,,,,Generating Revenue,Venture Capital-Backed,"Birmingham, United Kingdom",,,,,,,,,,,,,,,,1,1,,,,,,,,,0.0391763,2023,,0,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/160988-14/company/deals#deal-253863-55T,2024-03-08,7c4eadb59bd09a3be80658b529bef8150fca2ad332e639268a2c0934085ef270,2026-01-28
160988-14,CyberQ Group,3,253969-66T,2021-02-26,,0.34591368,0.25,Completed,Actual,8,2.84591368,2nd Round,,0.34591368,8.0002208,1:1,Later Stage VC,,,Venture Capital,,British Pounds (GBP),0.34591368,No,,,,,,,,,,Generating Revenue,,"Birmingham, United Kingdom",,3.97788828,4.32380195,Actual,,,,,,,,,,,,,,,,,,,,,,0,2020,,0,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/160988-14/company/deals#deal-253969-66T,2024-03-11,99893fe42d65ff1f8a3e4121228ac5033753a2204e07de72d4b22bc5233d9a47,2025-09-26
160988-14,CyberQ Group,4,319915-99T,,,,,Completed,,,2.84591368,,,,,,Accelerator/Incubator,,,Other,The company joined West Midlands Health Tech Innovation Accelerator on an undisclosed date. No equity or funding was exchanged as a result of this program.,US Dollars (USD),,No,,,,,,,,,,Generating Revenue,Venture Capital-Backed,"Birmingham, United Kingdom",,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/160988-14/company/deals#deal-319915-99T,2026-01-27,c20c5fd3f9d32d2ab45e9ce7ea2fe4ca4030a5b7025568b1aef283fb08eedfcc,2026-01-28
160988-14,CyberQ Group,6,323751-16T,2026-03-01,,,,Completed,,,4.1106313,4th Round,,,,,Later Stage VC,,,Venture Capital,The company raised an undisclosed amount of venture funding from Future Planet Capital in approximately March 2026.,British Pounds (GBP),,No,,,,,,,,,,Generating Revenue,Venture Capital-Backed,"Birmingham, United Kingdom",,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/160988-14/company/deals#deal-323751-16T,2026-03-05,3ce8590db89264aed60b739db37865ada6893a9671c52e7d9bcfc7cdb37205d8,2026-03-25
160988-14,CyberQ Group,7,325013-41T,2026-03-16,,,,Completed,,,4.1106313,,,,,,Accelerator/Incubator,,,Other,"The company joined Grow London as a part of seventh cohort of Grow London Global on March 16, 2026. No equity or funding was exchanged as a result of this program.",British Pounds (GBP),,No,,,,,,,,,,Generating Revenue,Venture Capital-Backed,"Birmingham, United Kingdom",,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/160988-14/company/deals#deal-325013-41T,2026-03-18,d6446f91e82e98120bbf6a9612b262c394f4ef92055facf7fa7e714e375d7c2c,2026-03-25
160988-14,CyberQ Group,1,71386-57T,2016-05-12,,,,Completed,,,,,,,,,Accelerator/Incubator,,,Other,"The company joined CyLon as part of cohort 3 on May 12, 2016.",British Pounds (GBP),,No,,,,,,,,,,Generating Revenue,Accelerator/Incubator Backed,"London, United Kingdom",,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/160988-14/company/deals#deal-71386-57T,2016-06-12,2b0ed3585193f65bae581685aaea403d8673effc837fc37fe8d16fa1702a2e70,2025-09-26
432873-10,Metcloud,2,132976-54T,2020-03-03,,,,Completed,,,,,,,,,Accelerator/Incubator,,,Other,"The company joined Velocity Accelerator on March 3, 2020.",British Pounds (GBP),,No,,,,,,,,,,Generating Revenue,Accelerator/Incubator Backed,"Birmingham, United Kingdom",,,,,,,,,,,,,,,,1,1,,,,,,,,,0,2020,,0,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/432873-10/company/deals#deal-132976-54T,2020-03-03,4618a63d0ee19e2dfd4b280b8433bde856ac47bf7dca18b73d3cd8db465c4e67,2025-09-26
432873-10,Metcloud,4,184386-52T,2021-09-15,,,,Completed,,,,,,,,,PE Growth/Expansion,,,Private Equity,"The company received an undisclosed amount of development capital from Future Planet Capital and Midven on September 15, 2021. The funds will be used to accelerate growth by increasing sales and marketing capacity, as well as multiple technical hires to strengthen depth and capability within the team.",British Pounds (GBP),,No,,,,,,,,,19,Generating Revenue,Private Equity-Backed,"Birmingham, United Kingdom",,,,,,,,,,,,,,,,2,2,,,,,,,,,0.20617706,2021,,0,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/432873-10/company/deals#deal-184386-52T,2021-12-02,b9ef6da8e23ade7b14d1ad51c25941ae7244b942188dcbd24d07ea725121bf7b,2025-09-26
432873-10,Metcloud,1,288821-89T,,,,,Completed,,,,,,,,,Accelerator/Incubator,,,Other,The company joined Grow London on an undisclosed date. No equity or funding was exchanged as a result of this program.,British Pounds (GBP),,No,,,,,,,,,,Generating Revenue,Accelerator/Incubator Backed,"Birmingham, United Kingdom",,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/432873-10/company/deals#deal-288821-89T,2025-03-24,7407f4c4c4e95220dafcd9860333949fdf10b866c6cdb94770ba17f207a03ead,2025-09-26
432873-10,Metcloud,3,302859-10T,,,,,Completed,,,,,,,,,Accelerator/Incubator,,,Other,The company joined Engine on an undisclosed date. No equity or funding was exchanged as a result of this program.,British Pounds (GBP),,No,,,,,,,,,,Generating Revenue,Accelerator/Incubator Backed,"Birmingham, United Kingdom",,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/432873-10/company/deals#deal-302859-10T,2025-07-30,b0cca35fb5b2640999c7d58a0664f93feaa06176f66d5253ca37b8b41195cb94,2025-09-26
439217-65,Utility Stream,1,156245-14T,2020-09-10,2020-06-05,0.19767039,0.15,Completed,Actual,25,0.19767039,1st Round,,0.19767039,24.99812495,1:1,Early Stage VC,,,Venture Capital,"The company raised GBP 150,000 of venture funding from Midlands Engine Investment Fund and Future Planet Capital on September 10, 2020, putting the company's pre-money valuation at GBP 450,000. The funds will be used to continue business development and for further brand-awareness and the promotion of its message on the importance of sustainably-sourced energy.",British Pounds (GBP),0.19767039,No,,,,,,,,,,Generating Revenue,Venture Capital-Backed,"Warwick, United Kingdom",,0.59301117,0.79068155,Actual,,,,,,,,,,,,2,2,,,,,,,,,0.23331425,2020,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/439217-65/company/deals#deal-156245-14T,2020-09-17,cd2710623312f8382b7eb9037b963883abdcf71e70005793c3dfff91f440735c,2025-09-26
439217-65,Utility Stream,2,177161-41T,2021-07-08,,0.10445183,0.075,Completed,Actual,6.67,0.30212222,2nd Round,Up Round,0.10445183,30.00139997,1:1,Early Stage VC,Series A,,Venture Capital,"The company raised GBP 75,000 of Series A venture funding from Future Planet Capital and UK Innovation & Science Seed Fund on July 8, 2021, putting the company's pre-money valuation at GBP 1.05 million.",British Pounds (GBP),0.10445183,No,,,,,,,,,,Generating Revenue,Venture Capital-Backed,"Warwick, United Kingdom",,1.46133959,1.56579142,Actual,,,,,,,,,,,,2,1,1,,,,,,,,0.0252706,2021,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/439217-65/company/deals#deal-177161-41T,2021-07-26,feabcbd55a1cf419e2d111ab8df4f4ff70a381ac6769c2900dfc6bf43c2966b5,2025-09-26
439217-65,Utility Stream,3,214163-56T,2022-06-09,2022-01-21,,,Completed,,,0.30212222,3rd Round,,,,,Early Stage VC,,,Venture Capital,"The company raised an undisclosed amount of venture funding in the form of convertible debt from UK Innovation & Science Seed Fund, Future Planet Capital and Midven on June 9, 2022.",British Pounds (GBP),,No,,,,Bridge Loan (Convertible),,,,,,Generating Revenue,Venture Capital-Backed,"Warwick, United Kingdom",,,,,,,,,,,,,,,,3,1,2,,,,,,,,0.0252706,2021,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/439217-65/company/deals#deal-214163-56T,2023-01-31,821c580ffc33cb3fd323388614c6feada654b5eacdf15ee2487123329fd28a40,2025-11-13
443170-45,D-RisQ,13,158528-53T,2020-10-27,2020-07-23,0.47176612,0.364002,Completed,Actual,14.42,0.47176612,1st Round,,0.47176612,21.2347775,1:1,Seed Round,Series C,,Venture Capital,"The company raised GBP 364,002 of Series C seed funding from Future Planet Capital, Midven and Midlands Engine Investment Fund on October 27, 2020, putting the company's pre-money valuation at GBP 2.16 million. The funds will be used to further exploit the development of the range of automated software tools, increase sales and marketing functions, and take on a number of new recruits.",British Pounds (GBP),0.47176612,No,,,,,,,,,,Generating Revenue,Venture Capital-Backed,"Malvern, United Kingdom",,2.79925295,3.27101907,Actual,,,,,,,,,,,,3,3,,,,,,,,,0.01341388,2021,,0,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/443170-45/company/deals#deal-158528-53T,2020-11-02,fe89e6ad5090e42e46eb06235617b2fc7092bffef0c7577e5dfe53603a3b1b25,2025-09-26
443170-45,D-RisQ,7,158531-41T,2017-06-03,,,,Completed,,,,,,,,,Accelerator/Incubator,,,Other,"The company joined as a part of Third Cohort on June 3, 2017.",British Pounds (GBP),,No,,,,,,,,,,Startup,Accelerator/Incubator Backed,"Malvern, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/443170-45/company/deals#deal-158531-41T,2020-11-02,30516d585fea70bde57ee0e7e4a7a22223dfd7bb603f609e539c422c9a1b4a92,2025-09-26
443170-45,D-RisQ,1,175239-73T,2014-08-01,,0.09047706,0.053028,Completed,Actual,,,,,,,,Grant,,,Other,"The company received £53,028 of grant funding from Innovate UK on August 1, 2014.",British Pounds (GBP),,No,,,,,,,,,,Startup,Venture Capital-Backed,"Malvern, United Kingdom",,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/443170-45/company/deals#deal-175239-73T,2021-06-25,3ed429b02a2dec88714b6bc77499e84f4b0bb96e7f192213257de15d09b18014,2025-09-26
443170-45,D-RisQ,4,175897-90T,2016-05-01,,0.0703324,0.049139,Completed,Actual,,,,,,,,Grant,,,Other,"The company received £49,139 of grant funding from Innovate UK on May 1, 2016.",British Pounds (GBP),,No,,,,,,,,,,Startup,Venture Capital-Backed,"Malvern, United Kingdom",,,,,,,,,,,,,,,,1,,1,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/443170-45/company/deals#deal-175897-90T,2021-07-06,6c27d85b9cf3a171958444e402f584881e31e27274a423441fa04e51949e6f15,2025-09-26
443170-45,D-RisQ,2,175450-42T,2015-04-01,,0.11163553,0.074759,Completed,Actual,,,,,,,,Grant,,,Other,"The company received £74,759 of grant funding from Innovate UK on April 1, 2015.",British Pounds (GBP),,No,,,,,,,,,,Startup,Venture Capital-Backed,"Malvern, United Kingdom",,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/443170-45/company/deals#deal-175450-42T,2021-06-29,11712190a9d5551e8264d993e742c5c95d1f4af03e6cd151a5c36e426ce84a2e,2025-09-26
443170-45,D-RisQ,3,175639-69T,2015-07-01,,0.23297179,0.149978,Completed,Actual,,,,,,,,Grant,,,Other,"The company received £149,978 of grant funding from Innovate UK on July 1, 2015.",British Pounds (GBP),,No,,,,,,,,,,Startup,Venture Capital-Backed,"Malvern, United Kingdom",,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/443170-45/company/deals#deal-175639-69T,2021-07-01,e37a7a6ec2891022d5c18845e3d423272e1712c187826fbc5c247de890578486,2025-09-26
443170-45,D-RisQ,5,175908-16T,2016-06-01,,0.07344619,0.050614,Completed,Actual,,,,,,,,Grant,,,Other,"The company received £50,614 of grant funding from Innovate UK on June 1, 2016.",British Pounds (GBP),,No,,,,,,,,,,Startup,Venture Capital-Backed,"Malvern, United Kingdom",,,,,,,,,,,,,,,,1,,1,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/443170-45/company/deals#deal-175908-16T,2021-07-06,27c197f9ecdd3018b0d027df443d3207fb7bfac20132325cf155c3b77053fc2b,2025-09-26
443170-45,D-RisQ,6,175911-85T,2016-07-01,,0.26997635,0.190829,Completed,Actual,,,,,,,,Grant,,,Other,"The company received £190,829 of grant funding from Innovate UK on July 1, 2016.",British Pounds (GBP),,No,,,,,,,,,,Startup,Venture Capital-Backed,"Malvern, United Kingdom",,,,,,,,,,,,,,,,1,,1,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/443170-45/company/deals#deal-175911-85T,2021-07-06,2d8e065d8a7d89ed2288da1be7be2a1e6efe1f809e48ac494acb9ae592642b8d,2025-09-26
443170-45,D-RisQ,8,176189-32T,2017-10-01,,0.12502471,0.093798,Completed,Actual,,,,,,,,Grant,,,Other,"The company received £93,798 of grant funding from Innovate UK on October 1, 2017.",British Pounds (GBP),,No,,,,,,,,,,Startup,Venture Capital-Backed,"Malvern, United Kingdom",,,,,,,,,,,,,,,,1,,1,,,,,,,,0.00730603,2018,,0,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/443170-45/company/deals#deal-176189-32T,2021-07-09,ffc12ce7b71e8c3e3e7222f3574b11b2ca66b957457875703f20ede4ebe5af33,2025-09-26
443170-45,D-RisQ,9,176189-77T,2019-01-01,,0.22117167,0.174529,Completed,Actual,,,,,,,,Grant,,,Other,"The company received £174,529 of grant funding from Innovate UK on January 1, 2019.",British Pounds (GBP),,No,,,,,,,,,,Startup,Venture Capital-Backed,"Malvern, United Kingdom",,,,,,,,,,,,,,,,1,,1,,,,,,,,0.01297265,2019,,0,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/443170-45/company/deals#deal-176189-77T,2021-07-09,632fc2d8b54541e87877681adb6497766d5de4ffdb40439db833505ec8e5db8d,2025-09-26
443170-45,D-RisQ,11,176191-57T,2019-07-01,,0.65627372,0.51791,Completed,Actual,,,,,,,,Grant,,,Other,"The company received £517,910 of grant funding from Innovate UK on July 1, 2019.",British Pounds (GBP),,No,,,,,,,,,,Startup,Venture Capital-Backed,"Malvern, United Kingdom",,,,,,,,,,,,,,,,1,,1,,,,,,,,0.01297265,2019,,0,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/443170-45/company/deals#deal-176191-57T,2021-07-09,9deae49de3390ac8acddced3da002316f7b0c2fe93cb081aed5c1a721238d490,2025-09-26
