companyid,companyname,dealno,dealid,dealdate,announceddate,dealsize,nativeamountofdeal,dealstatus,dealsizestatus,percentacquired,raisedtodate,vcround,vcroundup_down_flat,totalinvestedcapital,investorownership,stocksplit,dealtype,dealtype2,dealtype3,dealclass,dealsynopsis,nativecurrencyofdeal,totalinvestedequity,addon,addonsponsors,addonplatform,totalnewdebt,debts,debtraisedinround,totalloansize,totalinstloansize,contingentpayout,employees,businessstatus,financingstatus,sitelocation,exitscope,premoneyvaluation,postvaluation,postvaluationstatus,originalregistrationdate,currentregistrationdate,tickersymbol,exchange,fillingrangelow,fillingrangehigh,numberofshares,marketcapendoffirsttradingday,price1dayafteroffering,price5daysafteroffering,price30daysafteroffering,investors,newinvestors,followoninvestors,periodenddate,impliedev,revenue,revenuegrowthsincelastdebtdeal,grossprofit,netincome,ebitda,totaldebt,fiscalyear,debt_ebitda,debt_equity,dealsize_ebitda,valuation_ebitda,impliedev_ebitda,impliedev_ebit,valuation_ebit,valuation_netincome,dealsize_ebit,dealsize_netincome,dealsize_revenue,valuation_revenue,impliedev_revenue,dealsize_cashflow,valuation_cashflow,impliedev_cashflow,impliedev_netincome,ebitdamarginpercent,pitchbookprofilelink,pitchbookcreateddate,rowid,lastupdated
160988-14,CyberQ Group,5,253863-55T,2024-03-08,,1.26471762,1.0,Completed,Actual,,4.1106313,3rd Round,,1.26471762,,,Later Stage VC,,,Venture Capital,"The company raised GBP 1 million of venture funding from Midven on March 8, 2024. The funds will be used by the company to expand and advance to meet global demand.",British Pounds (GBP),1.26471762,No,,,,,,,,,,Generating Revenue,Venture Capital-Backed,"Birmingham, United Kingdom",,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,0.0391763,2023.0,,0.0,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/160988-14/company/deals#deal-253863-55T,2024-03-08,7c4eadb59bd09a3be80658b529bef8150fca2ad332e639268a2c0934085ef270,2026-01-28
160988-14,CyberQ Group,6,323751-16T,2026-03-01,,,,Completed,,,4.1106313,4th Round,,,,,Later Stage VC,,,Venture Capital,The company raised an undisclosed amount of venture funding from Future Planet Capital in approximately March 2026.,British Pounds (GBP),,No,,,,,,,,,,Generating Revenue,Venture Capital-Backed,"Birmingham, United Kingdom",,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/160988-14/company/deals#deal-323751-16T,2026-03-05,3ce8590db89264aed60b739db37865ada6893a9671c52e7d9bcfc7cdb37205d8,2026-03-25
432873-10,Metcloud,4,184386-52T,2021-09-15,,,,Completed,,,,,,,,,PE Growth/Expansion,,,Private Equity,"The company received an undisclosed amount of development capital from Future Planet Capital and Midven on September 15, 2021. The funds will be used to accelerate growth by increasing sales and marketing capacity, as well as multiple technical hires to strengthen depth and capability within the team.",British Pounds (GBP),,No,,,,,,,,,19.0,Generating Revenue,Private Equity-Backed,"Birmingham, United Kingdom",,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,0.20617706,2021.0,,0.0,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/432873-10/company/deals#deal-184386-52T,2021-12-02,b9ef6da8e23ade7b14d1ad51c25941ae7244b942188dcbd24d07ea725121bf7b,2025-09-26
439217-65,Utility Stream,1,156245-14T,2020-09-10,2020-06-05,0.19767039,0.15,Completed,Actual,25.0,0.19767039,1st Round,,0.19767039,24.99812495,1:1,Early Stage VC,,,Venture Capital,"The company raised GBP 150,000 of venture funding from Midlands Engine Investment Fund and Future Planet Capital on September 10, 2020, putting the company's pre-money valuation at GBP 450,000. The funds will be used to continue business development and for further brand-awareness and the promotion of its message on the importance of sustainably-sourced energy.",British Pounds (GBP),0.19767039,No,,,,,,,,,,Generating Revenue,Venture Capital-Backed,"Warwick, United Kingdom",,0.59301117,0.79068155,Actual,,,,,,,,,,,,2.0,2.0,,,,,,,,,0.23331425,2020.0,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/439217-65/company/deals#deal-156245-14T,2020-09-17,cd2710623312f8382b7eb9037b963883abdcf71e70005793c3dfff91f440735c,2025-09-26
439217-65,Utility Stream,2,177161-41T,2021-07-08,,0.10445183,0.075,Completed,Actual,6.67,0.30212222,2nd Round,Up Round,0.10445183,30.00139997,1:1,Early Stage VC,Series A,,Venture Capital,"The company raised GBP 75,000 of Series A venture funding from Future Planet Capital and UK Innovation & Science Seed Fund on July 8, 2021, putting the company's pre-money valuation at GBP 1.05 million.",British Pounds (GBP),0.10445183,No,,,,,,,,,,Generating Revenue,Venture Capital-Backed,"Warwick, United Kingdom",,1.46133959,1.56579142,Actual,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,0.0252706,2021.0,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/439217-65/company/deals#deal-177161-41T,2021-07-26,feabcbd55a1cf419e2d111ab8df4f4ff70a381ac6769c2900dfc6bf43c2966b5,2025-09-26
439217-65,Utility Stream,3,214163-56T,2022-06-09,2022-01-21,,,Completed,,,0.30212222,3rd Round,,,,,Early Stage VC,,,Venture Capital,"The company raised an undisclosed amount of venture funding in the form of convertible debt from UK Innovation & Science Seed Fund, Future Planet Capital and Midven on June 9, 2022.",British Pounds (GBP),,No,,,,Bridge Loan (Convertible),,,,,,Generating Revenue,Venture Capital-Backed,"Warwick, United Kingdom",,,,,,,,,,,,,,,,3.0,1.0,2.0,,,,,,,,0.0252706,2021.0,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/439217-65/company/deals#deal-214163-56T,2023-01-31,821c580ffc33cb3fd323388614c6feada654b5eacdf15ee2487123329fd28a40,2025-11-13
443170-45,D-RisQ,13,158528-53T,2020-10-27,2020-07-23,0.47176612,0.364002,Completed,Actual,14.42,0.47176612,1st Round,,0.47176612,21.2347775,1:1,Seed Round,Series C,,Venture Capital,"The company raised GBP 364,002 of Series C seed funding from Future Planet Capital, Midven and Midlands Engine Investment Fund on October 27, 2020, putting the company's pre-money valuation at GBP 2.16 million. The funds will be used to further exploit the development of the range of automated software tools, increase sales and marketing functions, and take on a number of new recruits.",British Pounds (GBP),0.47176612,No,,,,,,,,,,Generating Revenue,Venture Capital-Backed,"Malvern, United Kingdom",,2.79925295,3.27101907,Actual,,,,,,,,,,,,3.0,3.0,,,,,,,,,0.01341388,2021.0,,0.0,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/443170-45/company/deals#deal-158528-53T,2020-11-02,fe89e6ad5090e42e46eb06235617b2fc7092bffef0c7577e5dfe53603a3b1b25,2025-09-26
483883-75,Birtelli's,1,183428-11T,2021-11-12,2021-08-31,0.68326555,0.500098,Completed,Actual,15.0,0.68326555,1st Round,,0.68326555,14.99978962,1:1,Later Stage VC,,,Venture Capital,"The company raised GBP 500,098 of venture funding from Midlands Engine Investment Fund, Midven, Future Planet Capital and UK Innovation & Science Seed Fund on November 12, 2021, putting the company's pre-money valuation at GBP 2.83 million. Investor Midven and Other undisclosed investors also participated in the round. The funds will be used optimise company's e-commerce platform and upgrade its production capabilities.",British Pounds (GBP),0.68326555,No,,,,,,,,,,Generating Revenue,Venture Capital-Backed,"Leamington Spa, United Kingdom",,3.87190416,4.55516971,Actual,,,,,,,,,,,,4.0,4.0,,,,,,,,,0.0678366,2021.0,,0.0,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/483883-75/company/deals#deal-183428-11T,2021-11-15,f5a09c434aaac718c7a542ec0560febd3f3d59b6475f31c9a0625dfaae9b36e2,2025-09-26
509512-42,iEthico,2,204953-05T,2022-09-27,2022-09-09,0.71323879,0.624728,Completed,Actual,37.65,0.71323879,1st Round,,0.71323879,37.64610297,1:1,Early Stage VC,Series A,,Venture Capital,"The company raised GBP 624,728 of Series A venture funding in a deal led by Midven on September 27, 2022, putting the company's pre-money valuation at GBP 1.03 million. Future Planet Capital, Tiago Galvao, Conduit Connect and other undisclosed investors also participated in the round. The funds will be used to help combat global medicine shortages.",British Pounds (GBP),0.71323879,No,,,,,,,,,,Generating Revenue,Venture Capital-Backed,"Harrogate, United Kingdom",,1.18134999,1.89458878,Actual,,,,,,,,,,,,4.0,4.0,,,,,,,,,0.0,2022.0,,0.0,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/509512-42/company/deals#deal-204953-05T,2022-09-28,a4ffe3786101bfcc8cdf0a28276606170dc788a5adb1ac195186879f643fe64d,2025-09-26
509512-42,iEthico,5,248594-59T,2024-01-02,,1.64649638,1.3,Completed,Actual,24.43,2.35973518,3rd Round,Up Round,1.64649638,54.37023987,1:1,Early Stage VC,,,Venture Capital,"The company raised GBP 1.3 million through a combination of debt and venture funding on January 2, 2024, putting the company's pre-money valuation at GBP 3.56 million. Equity portion of GBP 1.150205 million was led by Midven with participation from other undisclosed investors. Debt portion of GBP 149,795 was provided by undisclosed lenders.",British Pounds (GBP),1.45677567,No,,,0.18972071,"Other - $0,19M",0.18972071,,,,,Generating Revenue,Venture Capital-Backed,"Harrogate, United Kingdom",,4.50732058,5.96409625,Actual,,,,,,,,,,,,1.0,,1.0,,,,,,,,0.0,2023.0,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/509512-42/company/deals#deal-248594-59T,2024-01-02,effba70d97f09982fbe93269a17e7af653f7a013f1105c6b275afe64a5b659d7,2025-09-26
